id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-111251819-A,Vehicle-mounted air conditioner intelligent adjusting method and system based on Internet of vehicles and big data ,武汉理工大学,"胡杰, 宋洪干",03/01/2020,03/01/2020,09/06/2020,,https://patents.google.com/patent/CN111251819A/en,
CN-110809211-B,"Method for actively reducing noise of earphone, active noise reduction system and earphone ",恒玄科技(北京)有限公司,"童伟峰, 张亮, 李倩, 徐明亮",08/01/2020,08/01/2020,19/05/2020,19/05/2020,https://patents.google.com/patent/CN110809211B/en,
CN-111211872-A,PDCCH blind detection method for SNR mean value feedback and CCEs energy judgment in 5G ,重庆邮电大学,"张治中, 王玲, 杨钦雲, 胡玲玲",09/01/2020,09/01/2020,29/05/2020,,https://patents.google.com/patent/CN111211872A/en,
CN-110854460-B,"Battery cell discharging method, and battery full-life-cycle discharging method and system ",长兴太湖能谷科技有限公司,"吴建斌, 陈驰",09/01/2020,16/01/2020,14/04/2020,14/04/2020,https://patents.google.com/patent/CN110854460B/en,
CN-111210144-A,Power generation risk management method and system for electric power spot market ,"南方电网科学研究院有限责任公司, 中国南方电网有限责任公司","周保荣, 黎小林, 赵文猛, 洪潮",02/01/2020,02/01/2020,29/05/2020,,https://patents.google.com/patent/CN111210144A/en,
CN-111225059-A,"Network request resource scheduling method and device, electronic equipment and storage medium ","中移（杭州）信息技术有限公司, 中国移动通信集团有限公司","陈宽, 洪一帆, 王广伟, 戚剑锋, 张阳平",10/01/2020,10/01/2020,02/06/2020,,https://patents.google.com/patent/CN111225059A/en,
CN-111097215-A,High-precision solid-liquid separation equipment ,种新全,种新全,08/01/2020,08/01/2020,05/05/2020,,https://patents.google.com/patent/CN111097215A/en,
CN-111190093-A,Chip testing method and device ,上海知白智能科技有限公司,胡信伟,10/01/2020,10/01/2020,22/05/2020,,https://patents.google.com/patent/CN111190093A/en,
CN-111241989-A,Image recognition method and device and electronic equipment ,腾讯科技（深圳）有限公司,"唐梦云, 裴歌, 刘水生, 涂思嘉",08/01/2020,08/01/2020,05/06/2020,,https://patents.google.com/patent/CN111241989A/en,
CN-111063301-A,"Pixel circuit, driving method thereof, array substrate and display device ","京东方科技集团股份有限公司, 成都京东方光电科技有限公司","张陶然, 周炟, 廖文骏, 莫再隆",09/01/2020,09/01/2020,24/04/2020,,https://patents.google.com/patent/CN111063301A/en,
CN-110978277-B,Concrete mixing equipment ,阜阳市鑫和诚信混凝土销售有限公司,不公告发明人,04/01/2020,04/01/2020,27/11/2020,27/11/2020,https://patents.google.com/patent/CN110978277B/en,
CN-111181064-A,Robot system for live-wire work ,"北京国电富通科技发展有限责任公司, 天津市华电电力器材股份有限公司, 国网北京市电力公司","夏益青, 高天宝, 李文华, 徐善军, 俞葆青, 滕济林, 赵崇, 张五福, 王朝阳",09/01/2020,09/01/2020,19/05/2020,,https://patents.google.com/patent/CN111181064A/en,
CN-111075111-A,Stand module and assembled cage structure building of assembled building ,严冬华,不公告发明人,06/01/2020,06/01/2020,28/04/2020,,https://patents.google.com/patent/CN111075111A/en,
CN-111242282-A,Deep learning model training acceleration method based on end edge cloud cooperation ,中山大学,"陈旭, 周知, 刘德银",09/01/2020,09/01/2020,05/06/2020,,https://patents.google.com/patent/CN111242282A/en,
CN-111222698-A,Long-and-short-term memory network-based ponding water level prediction method for Internet of things ,重庆邮电大学,"周小力, 刘应欢",06/01/2020,06/01/2020,02/06/2020,,https://patents.google.com/patent/CN111222698A/en,
CN-111185460-A,Resource utilization process for organic hazardous waste ,杰瑞邦达环保科技有限公司,"刘鹏, 陈龑斐, 郑琦, 喻学孔, 张强强, 杨华, 王瑞, 豆进科",06/01/2020,06/01/2020,22/05/2020,,https://patents.google.com/patent/CN111185460A/en,
CN-111185461-B,Pulping method of organic dangerous solid waste ,杰瑞邦达环保科技有限公司,"刘鹏, 陈龑斐, 杨华, 张强强, 王瑞, 豆进科, 喻学孔, 牛玉国",06/01/2020,06/01/2020,30/03/2021,30/03/2021,https://patents.google.com/patent/CN111185461B/en,
CN-111166357-A,Fatigue monitoring device system with multi-sensor fusion and monitoring method thereof ,四川宇然智荟科技有限公司,"李明, 靳飞, 廖政炯, 陶斯禄",06/01/2020,06/01/2020,19/05/2020,,https://patents.google.com/patent/CN111166357A/en,
CN-111207693-A,Three-dimensional measurement method of turbine blade ceramic core based on binocular structured light ,西安交通大学,"梅雪松, 王春杰, 黄旺旺, 贾国华, 侯东祥, 姜歌东",10/01/2020,10/01/2020,29/05/2020,,https://patents.google.com/patent/CN111207693A/en,
RU-196447-U1,Circle simulator with ring sectors for group exercises on restoration and preventive training of visual-spatial memory ,Леонид Евгеньевич Селявко,Леонид Евгеньевич Селявко,04/01/2020,04/01/2020,28/02/2020,28/02/2020,https://patents.google.com/patent/RU196447U1/en,https://patentimages.storage.googleapis.com/f9/a3/81/da533121817e88/00000002.png
RU-196242-U1,Pentagonal chip for group lessons on the restoration of visual memory in patients with a neurological clinic ,Леонид Евгеньевич Селявко,Леонид Евгеньевич Селявко,07/01/2020,07/01/2020,21/02/2020,21/02/2020,https://patents.google.com/patent/RU196242U1/en,https://patentimages.storage.googleapis.com/92/8d/cb/371f711527f359/00000002.png
CN-111243032-A,Full-automatic checkerboard angular point detection method ,大连理工大学,"孔维强, 吕德运, 仲维, 刘日升, 樊鑫, 罗钟铉",10/01/2020,10/01/2020,05/06/2020,,https://patents.google.com/patent/CN111243032A/en,
CN-111199106-A,Method for acquiring parameters of battery thermal insulation thermal runaway process ,"上海空间电源研究所, 上海动力储能电池系统工程技术有限公司, 南方电网科学研究院有限责任公司","吕桃林, 罗英, 罗伟林, 闵凡奇, 郭满毅, 晏莉琴, 解晶莹, 雷博, 辛清明",06/01/2020,06/01/2020,26/05/2020,,https://patents.google.com/patent/CN111199106A/en,
CN-111242905-B,Method and equipment for generating X-ray sample image and storage device ,科大讯飞(苏州)科技有限公司,"鲁盈悦, 支洪平",06/01/2020,06/01/2020,26/03/2021,26/03/2021,https://patents.google.com/patent/CN111242905B/en,
CN-111157857-A,Device for testing surface discharge characteristic of low-temperature insulating material with controllable environmental temperature ,天津大学,"杜伯学, 王明洋, 李忠磊, 李进, 侯兆豪, 张卓远",03/01/2020,03/01/2020,15/05/2020,,https://patents.google.com/patent/CN111157857A/en,
CN-111063342-A,"Speech recognition method, speech recognition device, computer equipment and storage medium ",腾讯科技（深圳）有限公司,"吴渤, 于蒙, 陈联武, 温超, 苏丹, 俞栋",02/01/2020,02/01/2020,24/04/2020,,https://patents.google.com/patent/CN111063342A/en,
CN-110969926-A,Driving safety endangered driving behavior monitoring and testing system ,重庆渝微电子技术研究院有限公司,"漆江玲, 韩修刚, 史建东, 漆奇, 曾文",07/01/2020,07/01/2020,07/04/2020,,https://patents.google.com/patent/CN110969926A/en,
CN-111182605-A,Anchor node dynamic path planning method based on network topology information clustering ,重庆邮电大学,"周非, 刘云萍, 罗晓勇",03/01/2020,03/01/2020,19/05/2020,,https://patents.google.com/patent/CN111182605A/en,
