,id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link,abstract
0,US-10052936-B2,Driver personalized climate conditioning ,"Ford Global Technologies, Llc","Kwaku O. Prakah-Asante, Jialiang Le, Manoharprasad K. Rao, Gary S. Strumolo",27/03/2012,29/03/2017,21/08/2018,21/08/2018,https://patents.google.com/patent/US10052936B2/en,https://patentimages.storage.googleapis.com/c4/d1/ef/26f4d9bb95dcc3/US10052936-20180821-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
1,US-2021000020-A1,Horticulture lighting system and horticulture production facility using such horticulture lighting system ,Signify Holding B.V.,"Celine Catherine Sarah Nicole, Hangfeng Ji, Cristina Tanase, Gabriel-Eugen Onac, Marc Andre Peters",04/09/2012,15/09/2020,07/01/2021,,https://patents.google.com/patent/US20210000020A1/en,https://patentimages.storage.googleapis.com/ea/a3/af/afde833df201a8/US20210000020A1-20210107-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
2,CN-105045377-B,Automotive touchscreen control for haptic feedback using simulated texture ,福特全球技术公司,"罗纳德·P·布龙巴赫, 劳拉·V·哈兹布鲁克, 约翰·R·范·维米尔斯, 赖安·E·汉森",28/04/2014,28/04/2015,27/11/2020,27/11/2020,https://patents.google.com/patent/CN105045377B/en,,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
3,US-2018061415-A1,Methods and vehicles for capturing emotion of a human driver and moderating vehicle response ,"Emerging Automotive, Llc","Angel A. Penilla, Albert S. Penilla",22/04/2011,18/10/2017,01/03/2018,,https://patents.google.com/patent/US20180061415A1/en,https://patentimages.storage.googleapis.com/b3/11/8d/773c9feb87183b/US20180061415A1-20180301-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
4,US-2018056786-A1,Vehicle systems for identifying a driver ,Invently Automotive Inc.,"Martin Koebler, Nicole G. Goldstein, Stephen J. Brown, Jason H. Harper",17/11/2005,29/08/2017,01/03/2018,,https://patents.google.com/patent/US20180056786A1/en,https://patentimages.storage.googleapis.com/86/c1/74/d07c6364217b7a/US20180056786A1-20180301-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
5,US-2019050948-A1,"Machine learning in agricultural planting, growing, and harvesting contexts ","Indigo Ag, Inc.","David Patrick Perry, Geoffrey Albert von Maltzahn, Robert Berendes, Eric Michael Jeck, Barry Loyd Knight, Rachel Ariel Raymond, Ponsi Trivisvavet, Justin Y H Wong, Neal Hitesh Rajdev, Marc-Cedric Joseph Meunier, Charles Vincent Michell, JR., Casey James Leist, Pranav Ram Tadi, Andrea Lee Flaherty, Charles David Brummitt, Naveen Neil Sinha, Jordan Lambert, Jonathan Hennek, Carlos Becco, Mark Allen, Daniel Bachner, Fernando Derossi, Ewan Lamont, Rob Lowenthal, Dan Creagh, Steve Abramson, Ben Allen, Jyoti Shankar, Chris Moscardini, Jeremy Crane, David Weisman, Gerard Keating, Lauren Moores, William Pate",08/08/2017,07/08/2018,14/02/2019,,https://patents.google.com/patent/US20190050948A1/en,https://patentimages.storage.googleapis.com/67/c4/e8/b2bc51dc1ef35e/US20190050948A1-20190214-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
6,US-9541300-B2,HVAC controller with user-friendly installation features facilitating both do-it-yourself and professional installation scenarios ,Google Inc.,"Mark D. Stefanski, David Sloo, Yoky Matsuoka",07/10/2011,13/04/2015,10/01/2017,10/01/2017,https://patents.google.com/patent/US9541300B2/en,https://patentimages.storage.googleapis.com/99/86/8b/8888ef10b26399/US09541300-20170110-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
7,US-2019254419-A1,"Workstation having automated and powered height, depth and rotational adjusters ",Sparx Smart Pods Inc.,"Léon DesRoches, Nancy Lee Black",25/01/2013,30/04/2019,22/08/2019,,https://patents.google.com/patent/US20190254419A1/en,https://patentimages.storage.googleapis.com/f5/18/6f/3d8d12b0c85281/US20190254419A1-20190822-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
8,US-9923774-B2,Audio/Video channel bonding configuration adaptations ,Avago Technologies General Ip (Singapore) Pte. Ltd.,"Victor Hou, Rajesh Shankarrao Mamidwar, Xuemin Chen",11/03/2012,05/01/2016,20/03/2018,20/03/2018,https://patents.google.com/patent/US9923774B2/en,https://patentimages.storage.googleapis.com/62/47/c0/eace6bb4295ed8/US09923774-20180320-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
9,US-2017155432-A1,Apparatus and method for adaptive beam-forming in wireless communication system ,"Samsung Electronics Co., Ltd.","Tae-Young Kim, Hyun-Kyu Yu, Jae-Weon Cho",12/08/2011,13/02/2017,01/06/2017,,https://patents.google.com/patent/US20170155432A1/en,https://patentimages.storage.googleapis.com/ce/da/0e/aa22e83577e1ff/US20170155432A1-20170601-D00000.png,"A single system merges primary data storage, data protection, and intelligence. Intelligence is provided through in-line data analytics, and data intelligence and analytics are gathered on protected data and prior analytics, and stored in discovery points, all without impacting performance of primary storage. As data is written it is automatically mirrored for data protection as part of a High Availability (HA) process. Real-time analysis is done in-line with the HA processing, enabling a variety of data analytics. Data content can be mined from within files or blocks. The gathered intelligence is used to tag objects with extended metadata, enabling both valuable search options and rapid restore options. Data recovery begins with metadata restoration, followed by near-instantaneous access to “hot” regions of data being restored, allowing site operation to continue or resume while a restore is ongoing."
